gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSDARG00000114142,1223.3218694590364,-5.031764578745896,0.769201210001943,-6.541545324315319,6.088637510172295e-11,8.193479497438858e-07,ENSDARG00000114142
ENSDARG00000111069,328.7200505023987,-4.007698360270728,0.681360578651787,-5.881905243477379,4.055705228732427e-09,1.446251950096389e-05,lgi2a
ENSDARG00000009040,963.9827249591456,-3.434730326702372,0.7423851641634033,-4.626614987077474,3.7169054580737694e-06,0.0026561884882057,si:ch73-141c7.1
ENSDARG00000024877,326.75128220903883,-3.3089758389945545,0.6920486182666435,-4.781421061546891,1.7406035197381435e-06,0.0015824232117966,ptgr1.1
ENSDARG00000078322,503.54240323201424,-2.923546117891856,0.7214135087360238,-4.052524775997265,5.066785625916623e-05,0.0174467337147698,COL12A1
ENSDARG00000016623,751.3972553688528,-2.819733984200437,0.6060310926121212,-4.6527876516150215,3.274774397763677e-06,0.0025922728865121,si:ch211-195b13.1
ENSDARG00000087452,130.06418034735324,-2.7208401165292564,0.5214098518524147,-5.218236876159738,1.806343585070573e-07,0.0002700885069366,PELI3
ENSDARG00000021383,44.396282441693295,-2.69475189776367,0.7338397067552406,-3.672126041910209,0.0002405409876965,0.0491507281578933,naalad2
ENSDARG00000055305,207.8388260046172,-2.6078812587553264,0.6916988327432241,-3.7702553991780943,0.0001630805697084,0.037837503906321,ret
ENSDARG00000075725,79.24283606822311,-2.599178481925533,0.4637477355140346,-5.604724902957232,2.0858598697690457e-08,5.6138832534964095e-05,CEP152
ENSDARG00000063509,231.52058852853983,-2.596861034949932,0.5827871563857396,-4.455933879968868,8.352877557640161e-06,0.0046835280538818,LRRC58
ENSDARG00000014233,111.03514020659,-2.454777549329004,0.4431350015364737,-5.539570426207813,3.0321449212369654e-08,6.800595700847641e-05,septin8b
ENSDARG00000061486,128.13617878802197,-2.267915418399073,0.5426588011536443,-4.179265891528318,2.9245160004770923e-05,0.0115750622995353,DNAH10
ENSDARG00000092126,4324.86907186767,-2.175296648892484,0.5789059328760221,-3.75759950858604,0.0001715511551557,0.0391282016090032,vtg5
ENSDARG00000035990,2369.521565527124,-1.914419492950476,0.5027620952920314,-3.807803951167952,0.0001402063552219,0.0341477543416066,cited4a
ENSDARG00000059048,137.6900129112829,-1.8713190828705928,0.4660549275068031,-4.015232910166531,5.938711844827345e-05,0.0181630102945094,mpzl1l
ENSDARG00000079290,52.90194703811505,-1.524843983204674,0.403404577469679,-3.7799372351427647,0.0001568678973854,0.0370345841248422,ENSDARG00000079290
ENSDARG00000029381,1648.7505549602704,-1.4749375531716362,0.3438921513182711,-4.288953811587826,1.7951669637073996e-05,0.0075492380720657,aldh3a2b
ENSDARG00000058159,332.4989045871316,-1.446568612790767,0.3150944544185474,-4.590904703353668,4.413288202887966e-06,0.0029694809673131,ipo8
ENSDARG00000070272,64.23094348371473,-1.3615303190199255,0.3543249102354152,-3.8426040046558345,0.0001217357999311,0.0309094086730959,ENSDARG00000070272
ENSDARG00000075857,95.86620025547448,-1.259144538632183,0.2722614684961107,-4.624762165529014,3.7502847050538537e-06,0.0026561884882057,PGS1
ENSDARG00000060196,376.2395765049804,-1.2293313646609216,0.2572494605277209,-4.778751963712865,1.7638662537674877e-06,0.0015824232117966,lhpp
ENSDARG00000009252,152.35006457273758,1.0596202898614122,0.2587103531478164,4.095778452499691,4.207521617223019e-05,0.0152633645933256,napepld
ENSDARG00000015575,4870.573193075767,1.0850598335328026,0.2613643505663971,4.151521931668923,3.3027160790210133e-05,0.012608204167984,cyp3c1
ENSDARG00000110173,749.3668651668029,1.1051189867857034,0.2741481863140453,4.03110084966878,5.551621450373538e-05,0.0174467337147698,ENSDARG00000110173
