gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSDARG00000114142,1223.3218694590364,-5.031764578745896,0.769201210001943,-6.541545324315319,6.088637510172295e-11,8.193479497438858e-07,ENSDARG00000114142
ENSDARG00000111069,328.7200505023987,-4.007698360270728,0.681360578651787,-5.881905243477379,4.055705228732427e-09,1.446251950096389e-05,lgi2a
ENSDARG00000031044,649.5501670059049,-3.838837084005227,1.0705223683724572,-3.585947568607567,0.000335856439267,0.0586963649768428,lipg
ENSDARG00000056888,365.5554138228816,-3.585692436279328,0.8817962770265811,-4.06635016465514,,,ENSDARG00000056888
ENSDARG00000009040,963.9827249591456,-3.434730326702372,0.7423851641634033,-4.626614987077474,3.7169054580737694e-06,0.0026561884882057,si:ch73-141c7.1
ENSDARG00000024877,326.75128220903883,-3.3089758389945545,0.6920486182666435,-4.781421061546891,1.7406035197381435e-06,0.0015824232117966,ptgr1.1
ENSDARG00000078322,503.54240323201424,-2.923546117891856,0.7214135087360238,-4.052524775997265,5.066785625916623e-05,0.0174467337147698,COL12A1
ENSDARG00000010146,823.7745498117157,-2.900355250672426,1.0767523879754073,-2.6936139478881467,0.0070681980328688,0.2749038755153626,cpa2
ENSDARG00000016623,751.3972553688528,-2.819733984200437,0.6060310926121212,-4.6527876516150215,3.274774397763677e-06,0.0025922728865121,si:ch211-195b13.1
ENSDARG00000007349,58.654238023332034,-2.7460786142771703,0.9663925486321694,-2.84157676729189,,,dmrt1
ENSDARG00000103687,2584.220803263445,-2.7434620381342087,1.063909616052456,-2.578660815486926,0.0099184121310999,0.31774410574766,sycn.2
ENSDARG00000087452,130.06418034735324,-2.7208401165292564,0.5214098518524147,-5.218236876159738,1.806343585070573e-07,0.0002700885069366,PELI3
ENSDARG00000021383,44.396282441693295,-2.69475189776367,0.7338397067552406,-3.672126041910209,0.0002405409876965,0.0491507281578933,naalad2
ENSDARG00000090615,2555.12301243358,-2.670021498645981,0.8393139886617732,-3.181195041087236,0.0014666884930176,0.1333596422333663,cd59
ENSDARG00000055305,207.8388260046172,-2.6078812587553264,0.6916988327432241,-3.7702553991780943,0.0001630805697084,0.037837503906321,ret
ENSDARG00000075725,79.24283606822311,-2.599178481925533,0.4637477355140346,-5.604724902957232,2.0858598697690457e-08,5.6138832534964095e-05,CEP152
ENSDARG00000063509,231.52058852853983,-2.596861034949932,0.5827871563857396,-4.455933879968868,8.352877557640161e-06,0.0046835280538818,LRRC58
ENSDARG00000019856,64.8970085285798,-2.5821934824563595,0.7707722746036978,-3.350137994758603,,,atp1a1b
ENSDARG00000007444,105.79407105398484,-2.57389503714319,0.8567857467348191,-3.0041291500847387,,,ift81
ENSDARG00000069018,3091.694116540748,-2.529794490527866,1.0415759608589816,-2.428814206158867,0.0151482928727127,0.3705040894749604,cyp7a1
ENSDARG00000010948,170.0374976958773,-2.486162415922604,0.7051805534855493,-3.5255685988986234,0.0004225747185606,0.0661231161357031,kif11
ENSDARG00000014233,111.03514020659,-2.454777549329004,0.4431350015364737,-5.539570426207813,3.0321449212369654e-08,6.800595700847641e-05,septin8b
ENSDARG00000005454,80.5253608148918,-2.451204760863513,0.8291737922108118,-2.9562014427975445,,,tacc3
ENSDARG00000055629,254.2229797660652,-2.4168148048224163,0.7857700969792824,-3.075727638546339,0.0020998956583987,0.1584898463934738,dipk2ab
ENSDARG00000093844,2395.6368802463694,-2.3616333972683257,1.3617046853383967,-1.734321268551292,0.0828610958085176,0.6482917245902451,ctrb.2
ENSDARG00000040623,217.32067748742773,-2.323627131928711,0.6996886461033387,-3.3209444584663577,0.0008971338874028,0.1031857326733304,fosl2
